Temperatura Maxima,Temperatura Minima,Cantidad dias de lluvia,w_racha,hr,p_mes,años
26.0,-2.0,19.0,20.0,70.0,86.0,2005-2008
25.0,-2.0,18.0,22.0,70.0,84.0,2009-2011
25.0,-1.0,19.0,20.0,70.0,78.0,2012-2015
26.0,-1.0,20.0,19.0,69.0,82.0,2016-2019
27.0,-1.0,21.0,19.0,69.0,71.0,2020-2023
27.0,-1.0,22.0,22.0,72.0,96.0,2024-2024
