Temperatura Maxima,Temperatura Minima,Cantidad dias de lluvia,w_racha,hr,p_mes,años
11.0,-12.0,1.0,1.0,50.0,0.0,2005-2008
11.0,-17.0,1.0,5.0,48.0,0.0,2009-2011
12.0,-10.0,2.0,1.0,45.0,0.0,2012-2015
13.0,-10.0,1.0,1.0,47.0,0.0,2016-2019
13.0,-8.0,1.0,2.0,46.0,1.0,2020-2023
16.0,-8.0,7.0,12.0,50.0,15.0,2024-2024
