Temperatura Maxima,Temperatura Minima,Cantidad dias de lluvia,velocidad del viento,Humedad Relativa,Precipitaciones mensuales,años
37.0,10.0,140.0,36.0,88.0,698.0,2005-2008
37.0,8.0,123.0,36.0,89.0,606.0,2009-2011
37.0,9.0,141.0,36.0,88.0,661.0,2012-2015
39.0,10.0,147.0,36.0,89.0,629.0,2016-2019
39.0,10.0,146.0,28.0,89.0,540.0,2020-2023
38.0,7.0,141.0,35.0,89.0,622.0,2024-2024
