Temperatura Maxima,Temperatura Minima,Cantidad dias de lluvia,w_racha,hr,p_mes,años
35.0,21.0,107.0,99.0,73.0,581.0,2005-2008
37.0,20.0,89.0,99.0,68.0,700.0,2009-2011
34.0,21.0,93.0,99.0,80.0,590.0,2012-2015
37.0,20.0,110.0,99.0,78.0,753.0,2016-2019
35.0,20.0,86.0,99.0,79.0,1012.0,2020-2023
34.0,20.0,98.0,99.0,76.0,737.0,2024-2024
