Temperatura Maxima,Temperatura Minima,Cantidad dias de lluvia,velocidad del viento,Humedad Relativa,Precipitaciones mensuales,años
39.0,21.0,66.0,99.0,68.0,308.0,2005-2008
39.0,21.0,34.0,99.0,69.0,175.0,2009-2011
37.0,21.0,75.0,99.0,72.0,163.0,2012-2015
38.0,22.0,74.0,99.0,72.0,158.0,2016-2019
36.0,22.0,70.0,99.0,72.0,207.0,2020-2023
35.0,21.0,59.0,99.0,71.0,84.0,2024-2024
